,,Mean_ACW_50,Mean_ACW_0,Mean_ACW_Nadir
sub-009C,auditory,2,7,4
sub-005C,visual,2.2,9.4,12.4
sub-005C,motor,2,7.5,10
sub-005C,dmn,2.333333333,6.666666667,8.666666667
sub-005C,fpn,2.5,7.5,10
sub-005C,salience,2,8.5,7.5
sub-005C,limbic,2,11,10
sub-019C,auditory,2,6,4
sub-006C,visual,2,8.8,11.6
sub-006C,motor,2,11.5,8.5
sub-006C,dmn,2,4.333333333,5.666666667
sub-006C,fpn,2,7,7
sub-006C,salience,2,11,5.5
sub-006C,limbic,2,4,4
sub-028C,auditory,2,4,4
sub-007C,visual,2,8.6,10
sub-007C,motor,2,6.5,6
sub-007C,dmn,2.333333333,6,8
sub-007C,fpn,2,6,6.5
sub-007C,salience,2,6,7
sub-007C,limbic,2,5.5,7
sub-031C,auditory,2,4,4
sub-009C,visual,2,6.2,4
sub-009C,motor,2,10,5
sub-009C,dmn,3,8,12.33333333
sub-009C,fpn,2,7.5,10
sub-009C,salience,2,8,4
sub-009C,limbic,2,5,5
sub-026C,auditory,2,4,4.5
sub-013C,visual,3.2,10,14.6
sub-013C,motor,2,6,8
sub-013C,dmn,2.666666667,9.333333333,13
sub-013C,fpn,2,8,8.5
sub-013C,salience,2,6,4.5
sub-013C,limbic,2,6.5,6.5
sub-014C,auditory,2,4.5,5
sub-014C,visual,3.4,9.8,14
sub-014C,motor,3,10,14
sub-014C,dmn,2.333333333,7,7.333333333
sub-014C,fpn,2.5,8.5,8
sub-014C,salience,2,5.5,6
sub-014C,limbic,2,7,5
sub-016C,auditory,2,5,5
sub-015C,visual,2,7.8,6.4
sub-015C,motor,2,9.5,5
sub-015C,dmn,2.333333333,7,8
sub-015C,fpn,2.5,8,10
sub-015C,salience,2,4.5,7.5
sub-015C,limbic,2,4,4
sub-018C,auditory,2,4,5
sub-016C,visual,3,10,12
sub-016C,motor,2,7.5,7
sub-016C,dmn,3.333333333,7,11.66666667
sub-016C,fpn,2,7,9
sub-016C,salience,2,7.5,8
sub-016C,limbic,2,5,4
sub-020C,auditory,2,5,5
sub-017C,visual,2.2,8.2,8
sub-017C,motor,2,4.5,5.5
sub-017C,dmn,2.666666667,8.333333333,8.666666667
sub-017C,fpn,2,8,8
sub-017C,salience,2,5,3
sub-017C,limbic,2,7.5,7
sub-027C,auditory,2,10,5
sub-018C,visual,3,9.6,16.4
sub-018C,motor,2,9.5,12
sub-018C,dmn,2,6,8
sub-018C,fpn,2.5,9,10
sub-018C,salience,2,7,9
sub-018C,limbic,2,4,5
sub-024C,auditory,2,6.5,6
sub-019C,visual,2.2,9.6,10.4
sub-019C,motor,2,12,9
sub-019C,dmn,2.333333333,7.333333333,8.666666667
sub-019C,fpn,2,8,9
sub-019C,salience,2,5,4
sub-019C,limbic,2,5.5,3.5
sub-025C,auditory,2,6,6
sub-020C,visual,2,9.2,4.8
sub-020C,motor,2,9.5,4
sub-020C,dmn,2,5.666666667,9.333333333
sub-020C,fpn,2,8.5,4.5
sub-020C,salience,2,4,4
sub-020C,limbic,2,4.5,5
sub-013C,auditory,2,5,6.5
sub-021C,visual,3.6,10.8,15
sub-021C,motor,2,9,10
sub-021C,dmn,3,7.333333333,11.66666667
sub-021C,fpn,2.5,8,10
sub-021C,salience,2,7.5,9
sub-021C,limbic,2,6,5
sub-006C,auditory,2,7,7
sub-024C,visual,4,10.4,17.2
sub-024C,motor,3,8,9.5
sub-024C,dmn,3.333333333,7,9.666666667
sub-024C,fpn,4,6.5,12.5
sub-024C,salience,2,6,8
sub-024C,limbic,2,6,6
sub-007C,auditory,2.5,7,7
sub-025C,visual,2,7,7.8
sub-025C,motor,2,6,6.5
sub-025C,dmn,2.333333333,7.333333333,10.33333333
sub-025C,fpn,2.5,7,12
sub-025C,salience,2,5,6
sub-025C,limbic,2,4,3.5
sub-015C,auditory,2,6,7
sub-026C,visual,2.2,10,9.8
sub-026C,motor,2,6.5,5
sub-026C,dmn,2,6.666666667,8.666666667
sub-026C,fpn,2.5,10,11
sub-026C,salience,2,7,5
sub-026C,limbic,2,4.5,5
sub-005C,auditory,2,9.5,7.5
sub-027C,visual,2.8,11.4,12.4
sub-027C,motor,2.5,7.5,10
sub-027C,dmn,2.666666667,6,9.333333333
sub-027C,fpn,2.5,6.5,10
sub-027C,salience,3,7.5,12
sub-027C,limbic,2,6.5,5
sub-021C,auditory,2,6.5,8.5
sub-028C,visual,2.6,7.2,8.4
sub-028C,motor,2,4.5,6.5
sub-028C,dmn,2,6.333333333,7
sub-028C,fpn,2,5.5,10
sub-028C,salience,2,5,4
sub-028C,limbic,2,6,5
sub-029C,auditory,2,7,9.5
sub-029C,visual,2.6,8.8,11.2
sub-029C,motor,2,6.5,10
sub-029C,dmn,2,6.666666667,10.66666667
sub-029C,fpn,2,6.5,7.5
sub-029C,salience,2,6,6
sub-029C,limbic,2,5,6
sub-030C,auditory,2,9,9.5
sub-030C,visual,3.6,11.2,18.2
sub-030C,motor,3,8.5,12.5
sub-030C,dmn,2.666666667,6,8
sub-030C,fpn,2,5.5,8
sub-030C,salience,2,5,5
sub-030C,limbic,2,5,5.5
sub-017C,auditory,2,8,10
sub-031C,visual,2.6,10.8,13.6
sub-031C,motor,2.5,8,9
sub-031C,dmn,2,7,8.333333333
sub-031C,fpn,2,6,9
sub-031C,salience,2,5,6
sub-031C,limbic,2,3,4
